Id,SalePrice
1461,118431.414
1462,152343.92
1463,179886.33
1464,190572.06
1465,187445.75
1466,173464.6
1467,169923.33
1468,162710.48
1469,163749.9
1470,129117.73
1471,192913.47
1472,91501.945
1473,92019.59
1474,150165.84
1475,122618.68
1476,347890.06
1477,271966.9
1478,289235.6
1479,286708.88
1480,553653.44
1481,336092.22
1482,201292.84
1483,167703.52
1484,155409.64
1485,168287.69
1486,180692.14
1487,323022.78
1488,246403.56
1489,195759.88
1490,223804.11
1491,181869.81
1492,117754.266
1493,173824.31
1494,305996.8
1495,294223.34
1496,220754.75
1497,182268.78
1498,158109.52
1499,160539.55
1500,165219.1
1501,177762.14
1502,146637.42
1503,301892.7
1504,233594.25
1505,228545.83
1506,206017.89
1507,262839.47
1508,218861.52
1509,159843.92
1510,145545.53
1511,148319.34
1512,163508.25
1513,141996.03
1514,159331.1
1515,157210.34
1516,154668.62
1517,151960.84
1518,135061.77
1519,197819.7
1520,117700.7
1521,111716.414
1522,166564.05
1523,105758.4
1524,131657.42
1525,123352.54
1526,131016.25
1527,114830.73
1528,133889.7
1529,146065.12
1530,162323.11
1531,111870.086
1532,106074.38
1533,122111.38
1534,115136.1
1535,150668.11
1536,98824.58
1537,74167.85
1538,175033.72
1539,228460.17
1540,87801.22
1541,149824.98
1542,150328.73
1543,199084.47
1544,89446.945
1545,102771.41
1546,115426.98
1547,139236.5
1548,124867.984
1549,99134.65
1550,130926.72
1551,123082.164
1552,123494.28
1553,149674.88
1554,113138.35
1555,178417.14
1556,115113.53
1557,125559.93
1558,101492.28
1559,95687.15
1560,143234.64
1561,144823.9
1562,128672.375
1563,119596.99
1564,144516.48
1565,151285.42
1566,234246.97
1567,82201.336
1568,247964.42
1569,120721.02
1570,128307.016
1571,121766.27
1572,135719.61
1573,226866.62
1574,109105.805
1575,216273.5
1576,223391.98
1577,169050.58
1578,150849.28
1579,143441.73
1580,172040.62
1581,154648.89
1582,129886.65
1583,328277.62
1584,198328.81
1585,139639.92
1586,78564.36
1587,93837.4
1588,122221.74
1589,106143.75
1590,122564.55
1591,94632.26
1592,117975.336
1593,136164.02
1594,138077.02
1595,109943.55
1596,234963.61
1597,178820.03
1598,188884.03
1599,168385.42
1600,166826.02
1601,72410.414
1602,107220.78
1603,92552.36
1604,291482.5
1605,248830.67
1606,164650.55
1607,159446.78
1608,225633.3
1609,178266.69
1610,155669.84
1611,134810.16
1612,138562.42
1613,144416.02
1614,124175.53
1615,89075.555
1616,82583.695
1617,101833.81
1618,119656.46
1619,140962.48
1620,138521.22
1621,133284.27
1622,143163.45
1623,262374.28
1624,196740.9
1625,120481.68
1626,156750.64
1627,184893.6
1628,279586.1
1629,168353.25
1630,365184.44
1631,254057.28
1632,272855.3
1633,159800.23
1634,189184.0
1635,180990.64
1636,149589.94
1637,185442.14
1638,202377.89
1639,175358.94
1640,252687.8
1641,175857.31
1642,241141.58
1643,218364.4
1644,229183.34
1645,189030.77
1646,151009.38
1647,157791.34
1648,132606.4
1649,134196.89
1650,122739.53
1651,120029.07
1652,92014.336
1653,87252.69
1654,143480.08
1655,146097.28
1656,138467.34
1657,143923.38
1658,136305.69
1659,124770.92
1660,149892.11
1661,506889.06
1662,408682.9
1663,368871.25
1664,489859.2
1665,329264.62
1666,319693.25
1667,366981.94
1668,337849.97
1669,301813.78
1670,343446.28
1671,286308.78
1672,567268.4
1673,309023.06
1674,253225.55
1675,185905.94
1676,194019.08
1677,220123.95
1678,538715.25
1679,436478.12
1680,317484.8
1681,258111.78
1682,292669.66
1683,176470.33
1684,155942.48
1685,168134.03
1686,159768.97
1687,156016.97
1688,169717.02
1689,172806.72
1690,179161.73
1691,165761.48
1692,279573.6
1693,160761.38
1694,183538.4
1695,156099.0
1696,271841.2
1697,159923.7
1698,349449.78
1699,321874.78
1700,219640.5
1701,271878.62
1702,265784.6
1703,252073.55
1704,310544.06
1705,240821.75
1706,486915.03
1707,211208.97
1708,205391.84
1709,282882.88
1710,224193.61
1711,258590.73
1712,267430.3
1713,255826.56
1714,232191.53
1715,211219.36
1716,177353.27
1717,155663.9
1718,133348.28
1719,181979.3
1720,258221.66
1721,152516.1
1722,128441.49
1723,161901.33
1724,214266.75
1725,223264.08
1726,180091.03
1727,160684.33
1728,171373.58
1729,159039.52
1730,148171.39
1731,124166.77
1732,134564.6
1733,111912.86
1734,124249.18
1735,129835.31
1736,121236.016
1737,344756.34
1738,217825.73
1739,279333.9
1740,217694.81
1741,180148.94
1742,172746.1
1743,173765.97
1744,296508.28
1745,238822.5
1746,252208.19
1747,200269.9
1748,217010.52
1749,153361.23
1750,144346.75
1751,243486.2
1752,121718.97
1753,134677.64
1754,180224.67
1755,160338.64
1756,127284.18
1757,115036.64
1758,124026.51
1759,148640.86
1760,150474.3
1761,151237.66
1762,141923.34
1763,165462.98
1764,118556.33
1765,167832.83
1766,148388.48
1767,194964.86
1768,137385.61
1769,186879.55
1770,131110.6
1771,136370.97
1772,137020.61
1773,146410.88
1774,135185.53
1775,129763.7
1776,117666.97
1777,122177.83
1778,130005.21
1779,104143.61
1780,165158.3
1781,125721.16
1782,84687.89
1783,132897.33
1784,100096.414
1785,106640.03
1786,128913.72
1787,153940.8
1788,71578.44
1789,105577.18
1790,86601.6
1791,125504.57
1792,155346.22
1793,126532.53
1794,131308.38
1795,138966.69
1796,116651.63
1797,120440.59
1798,110553.195
1799,118355.82
1800,125086.72
1801,119090.195
1802,135500.62
1803,135447.05
1804,132305.69
1805,125130.77
1806,112470.16
1807,140602.53
1808,110016.14
1809,128300.14
1810,139072.23
1811,121405.65
1812,111143.06
1813,115261.695
1814,105412.23
1815,70230.73
1816,95229.65
1817,112315.14
1818,136691.0
1819,122152.52
1820,69758.73
1821,115457.27
1822,173299.2
1823,60570.043
1824,113803.99
1825,129343.43
1826,91750.34
1827,110503.88
1828,129728.35
1829,105281.3
1830,142119.1
1831,167037.58
1832,80871.25
1833,141989.52
1834,134723.48
1835,167292.36
1836,123877.56
1837,101610.91
1838,127860.53
1839,91234.68
1840,146176.9
1841,132404.77
1842,77196.92
1843,133206.88
1844,123863.67
1845,131777.94
1846,147651.3
1847,160375.61
1848,57422.89
1849,112631.54
1850,102101.47
1851,139045.05
1852,115143.625
1853,118733.2
1854,144733.34
1855,150020.47
1856,208949.97
1857,166153.36
1858,132421.12
1859,116193.31
1860,167786.28
1861,116193.31
1862,229444.92
1863,221263.53
1864,221850.81
1865,322224.97
1866,314500.9
1867,255434.17
1868,281919.53
1869,189272.97
1870,257201.16
1871,252730.38
1872,165023.16
1873,244410.66
1874,137322.27
1875,201516.34
1876,200555.36
1877,213251.78
1878,204139.05
1879,130341.66
1880,131364.48
1881,244430.45
1882,246234.02
1883,178257.0
1884,193105.75
1885,262761.1
1886,261834.84
1887,205370.34
1888,267421.3
1889,165349.45
1890,120994.266
1891,138498.53
1892,99550.2
1893,108849.03
1894,127288.695
1895,136495.2
1896,115762.97
1897,124052.055
1898,117075.72
1899,160958.94
1900,156172.47
1901,180821.03
1902,138697.64
1903,192102.08
1904,131637.98
1905,191474.03
1906,173183.42
1907,227081.06
1908,105982.086
1909,139067.1
1910,119549.76
1911,194552.5
1912,270495.72
1913,154517.08
1914,79222.49
1915,312168.6
1916,71659.6
1917,264310.4
1918,129625.93
1919,167730.88
1920,143897.97
1921,391475.3
1922,317291.9
1923,206541.05
1924,251523.86
1925,218028.34
1926,411281.0
1927,125706.85
1928,152349.2
1929,117093.5
1930,132395.64
1931,134163.44
1932,131400.61
1933,170400.7
1934,179966.28
1935,173306.12
1936,182201.33
1937,188384.89
1938,177630.25
1939,251730.48
1940,189740.97
1941,172790.12
1942,190280.5
1943,197981.1
1944,333641.62
1945,375273.78
1946,162044.89
1947,307189.28
1948,182748.33
1949,228569.7
1950,169965.73
1951,273220.47
1952,224150.56
1953,168054.05
1954,151639.25
1955,143079.02
1956,281619.5
1957,161016.11
1958,326640.06
1959,130725.47
1960,115539.15
1961,118928.15
1962,93228.85
1963,96875.3
1964,109264.836
1965,142143.3
1966,140447.52
1967,310476.4
1968,508881.66
1969,403468.8
1970,511796.12
1971,475936.7
1972,419831.62
1973,267579.4
1974,337665.03
1975,504006.4
1976,279522.2
1977,332637.78
1978,371125.38
1979,328967.6
1980,207541.27
1981,348380.66
1982,235152.0
1983,203922.95
1984,160468.67
1985,224410.45
1986,228368.31
1987,164839.0
1988,174386.11
1989,177297.1
1990,208142.69
1991,239275.2
1992,195672.0
1993,154379.2
1994,228814.48
1995,166181.55
1996,252312.61
1997,295951.16
1998,338260.8
1999,247410.34
2000,301387.28
2001,232318.36
2002,238493.69
2003,241714.39
2004,272982.4
2005,241801.39
